latitude,longitude,UTMX,UTMY,NO2 (mol/m^2),Elevation,Rainfall,Population,VIIRS,Temperature,WindSpeed
12.899999999999999,77.75000000000016,798437,1427677,6.832614585016808e-05,860,90.0,743.8121,7.125365,299.5,184.16666666666666
12.899999999999999,77.76000000000016,799523,1427689,6.832614585016808e-05,860,90.0,743.8121,7.125365,299.5,184.16666666666666
12.899999999999999,77.77000000000017,800609,1427700,6.832614585016808e-05,860,90.0,743.8121,7.125365,299.5,184.16666666666666
12.899999999999999,77.78000000000017,801695,1427712,6.526463326924476e-05,861,90.0,449.82236,3.8461459,299.5,184.16666666666666
12.899999999999999,77.79000000000018,802781,1427724,6.526463326924476e-05,861,90.0,449.82236,3.8461459,299.5,184.16666666666666
12.909999999999998,77.45,765850,1428453,7.805904551632372e-05,832,87.75,311.12616,6.7027082,303.9166666666667,195.0
12.909999999999998,77.46000000000001,766936,1428464,7.805904551632372e-05,832,87.75,311.12616,6.7027082,303.9166666666667,195.0
12.909999999999998,77.47000000000001,768022,1428474,8.172427533512069e-05,862,88.75,311.12616,48.09505,304.5,195.0
12.909999999999998,77.48000000000002,769107,1428485,8.172427533512069e-05,862,88.75,311.12616,48.09505,304.5,195.0
12.909999999999998,77.49000000000002,770193,1428495,8.172427533512069e-05,862,88.75,311.12616,48.09505,304.5,195.0
12.909999999999998,77.50000000000003,771279,1428506,8.380504272399662e-05,893,89.83333333333333,311.12616,36.402866,305.5833333333333,190.83333333333334
12.909999999999998,77.51000000000003,772365,1428517,8.380504272399662e-05,893,89.83333333333333,311.12616,36.402866,305.5833333333333,190.83333333333334
